,sna,tot,sbi,sarea,mday,ar,bemp,act
1218,YouBike2.0_桂林昆明街口,20,0,萬華區,2023-05-27 15:47:14,桂林路與昆明街口西北側,20,1
1220,YouBike2.0_青年公園3號出口,38,3,萬華區,2023-05-27 15:46:15,青年路/青年路106巷(東側),32,1
1224,YouBike2.0_萬大路493巷,10,3,萬華區,2023-05-27 15:24:14,萬大路493巷44號旁,6,1
1227,YouBike2.0_臺大水源舍區A棟,37,2,臺大專區,2023-05-27 15:43:16,汀洲路三段60巷2弄路側(A舍北側),32,1
1228,YouBike2.0_臺大卓越研究大樓,32,2,臺大專區,2023-05-27 15:42:14,臺大水源舍區C南側,27,1
1230,YouBike2.0_臺大檔案展示館,10,2,臺大專區,2023-05-27 13:57:15,臺大檔案展示館東北側,7,1
1232,YouBike2.0_臺大男八舍東側,42,1,臺大專區,2023-05-27 15:44:04,臺大男八舍東側,41,1
1233,YouBike2.0_臺大禮賢樓東南側,23,2,臺大專區,2023-05-27 15:48:15,臺大仰萃樓東南側,21,1
1237,YouBike2.0_臺大大一女舍北側,53,1,臺大專區,2023-05-27 15:48:15,臺大女一舍北側,52,1
1240,YouBike2.0_臺大立體機車停車場,27,2,臺大專區,2023-05-27 15:35:15,基隆路三段/基隆路三段156巷口北側,25,1
1244,YouBike2.0_臺大樂學館東側,28,1,臺大專區,2023-05-27 15:48:15,臺大文學院西側,27,1
1245,YouBike2.0_臺大農化新館西側,10,2,臺大專區,2023-05-27 15:36:04,臺大生化科技學系西側,7,1
1246,YouBike2.0_臺大五號館西側,20,2,臺大專區,2023-05-27 15:29:14,臺大生物系館西側,17,1
1251,YouBike2.0_臺大公館停車場西北側,12,1,臺大專區,2023-05-27 13:34:04,臺大公館停車場西北側,11,1
1252,YouBike2.0_臺大第二行政大樓南側,27,0,臺大專區,2023-05-27 15:19:04,臺大行政大樓西側,27,1
1254,YouBike2.0_臺大二號館,10,1,臺大專區,2023-05-27 15:32:14,臺大物理文物廳北側,9,1
1259,YouBike2.0_臺大椰林小舖,48,1,臺大專區,2023-05-27 15:48:04,臺大椰林小舖旁,46,1
1268,YouBike2.0_臺大小小福西南側,10,0,臺大專區,2023-05-27 13:55:12,臺大進修教育大樓,10,1
1270,YouBike2.0_臺大四號館東北側,10,0,臺大專區,2023-05-27 15:48:04,臺大園藝暨景觀學系北側,10,1
1273,YouBike2.0_臺大電機二館東南側,14,1,臺大專區,2023-05-27 15:44:15,臺大電機二館南側,13,1
